urn,author,date
urn:cts:greekLit:tlg1891,"Abas, Historicus, v2. Jh",200 BCE
urn:cts:greekLit:tlg4023,"Ablabius, Rhetor, 5. Jh. n. Chr",400 CE-500 CE
urn:cts:greekLit:tlg0116,"Abydenus Historicus, 2. Jh. n. Chr.",200 CE
urn:cts:greekLit:tlg0101,"Aceratus Epigrammaticus, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg1832,"Acesander, Historicus, 4./2. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg1818,"Acestodorus, Megalopolitanus, 3. Jh. v. Chr",300 BCE
urn:cts:greekLit:tlg0309,"Achaeus, Eretriensis, ca. 484 - ca. 401 v. Chr.",500 BCE
urn:cts:greekLit:tlg2133,"Achilles Tatius, Astronomus, 3. Jh.",200 CE
urn:cts:greekLit:tlg0532,"Achilles Tatius, Scriptor Eroticus ca. 2./3. Jh.",200 CE
urn:cts:greekLit:tlg2545,"Acilius, Gaius, um 155 v. Chr",200 BCE
urn:cts:greekLit:tlg2948,Acta Philippi,400 CE
urn:cts:greekLit:tlg0392,"Acusilaus, of Argos, ca. v5. Jh.",600 BCE
urn:cts:greekLit:tlg0102,"Adaeus, Macedo,",400 BCE-300 BCE
urn:cts:greekLit:tlg0731,Adamant,500 CE
urn:cts:greekLit:tlg0545,"Aelian, 3rd cent.",200 CE-300 CE
urn:cts:greekLit:tlg0546,"Aelianus, Tacticus, 2nd cent",200 CE
urn:cts:greekLit:tlg2434,"Aelius Dius, 2. Jh",200 CE
urn:cts:greekLit:tlg1323,"Dionysius, Aelius, 2nd cent.",200 CE
urn:cts:greekLit:tlg0103,"Aemilianus, Rhetor, 1. Jh. n. Chr.",100 CE
urn:cts:greekLit:tlg4001,"Aeneas, Gazaeus, 430-486",500 CE
urn:cts:greekLit:tlg0058,"Aeneas, Tacticus, 4th cent. B.C",400 BCE
urn:cts:greekLit:tlg2413,"Aenesidemus, Historicus, Person der Antike",Unknown
urn:cts:greekLit:tlg1178,"Aesara, Philosopha, 3. Jh. v. Chr.",300 BCE
urn:cts:greekLit:tlg0026,Aeschines Orator,400 BCE
urn:cts:greekLit:tlg0104,Aeschines Rhet.,100 BCE
urn:cts:greekLit:tlg0673,"Aeschines, Socraticus, 4th cent. B.C.",400 BCE
urn:cts:greekLit:tlg0679,"Aeschrion, Samius, 4. Jh. v. Chr.",400 BCE
urn:cts:greekLit:tlg5010,Scholia in Aeschylum,various
urn:cts:greekLit:tlg0085,Aeschylus,500 BCE
urn:cts:greekLit:tlg0321,"Aeschylus, Alexandrinus, 3./1. Jh. v. Chr.",300 BCE/100 BCE
urn:cts:greekLit:tlg0096,"Aesop, 620-564 BCE",600 BCE
urn:cts:greekLit:tlg0686,"Aethlius, Samius, 5./4. Jh. v. Chr.",500 BCE-400 BCE
urn:cts:greekLit:tlg0718,"Aetius, of Amida, ca. 502-575",600 CE
urn:cts:greekLit:tlg2956,"Africanus, Sextus Julius",200 CE-300 CE
urn:cts:greekLit:tlg0687,"Agaclytus, Historicus, 1. Jh. v. Chr.",100 BCE
urn:cts:greekLit:tlg2605,Agamestor,Ante 100 CE
urn:cts:greekLit:tlg2817,Agapētos,600 CE
urn:cts:greekLit:tlg2878,Agatʿangeghos (Agathangelus),500 CE
