"","book","lc","wc","words.per.line","cover","overlap","wover","title","author","date1_src","date2_src","date_types_src","language_src","language_gen","ocr_score_src","ocr_score_gen","year","year2"
"1","hwsgg9",197574,1780646,9.01255225890046,0.5,0.4,0.0970482361411087,"Mega lexikon tēs Hellēnikēs glōssēs : epexergasthen, diaskeuasthen kai dia pleistōn neōn lexeōn kai phraseōn ploutisthen","Liddell, Henry George","1921","","Single known date/probable date","ell","ell",89,100,1921,NA
"2","32044100014992",73151,858826,11.7404546759443,0.354838709677419,0.32258064516129,0.0344609547897566,"Mega lexikon tēs hellēnikēs glōssēs","Kōnstantinidēs, Anestēs P.","1901","1906","Multiple dates","ell","ell",0,100,1901,1906
"3","hwsheu",122783,733773,5.97617748385363,0.306122448979592,0.181818181818182,0.0370597243491577,"Lexikon hellēnogallikon (kai galloellēnikon) tēs laloumenēs hellēnikēs glōssēs (ētoi kathareuousēs kai dēmōdous)","Ēpitēs, Antōnios Th.","1908","1910","Multiple dates","ell","ell",0,98,1908,1910
"4","32044100438399",121917,684519,5.61463126553311,0.0729166666666667,0.0729166666666667,0.0179156908665105,"Kitabē Moukaddes, yiahod, Achdē atik ile Achdē cedid, yiani, Palaia ve Nea Diathēkē.","","1902","","Single known date/probable date","tur","ell",84,100,1902,NA
"5","32044057029480",63155,646540,10.237352545325,0.380952380952381,0.380952380952381,0.0354993983152828,"Neoteroi kodikes tes Hellenikes nomothesias.","Greece.","1914","1915","Multiple dates","ell","ell",87,100,1914,1915
"6","hwsrmq",119929,638447,5.32354142867863,0.09375,0.09375,0.0247072599531616,"Kitap⁻e moukattes.giachot act⁻e atik ile acht⁻e tzetit.","","1884","","Single known date/probable date","tur","ell",83,100,1884,NA
"7","32044098648066",96091,633237,6.58997200570293,0.454545454545455,0.4,0.0446399478657543,"Hestia.","","1876","1895","Continuing resource ceased publication (Dead status)","ell","ell",87,100,1876,1895
"8","32044083475699",90935,629449,6.92196623962171,0.136363636363636,0.0909090909090909,0.0308350213819491,"Ho Noumas [Ephēmeris politikē, koinōnikē, philologikē]","","1903","uuuu","Continuing resource status unknown","ell","ell",88,100,1903,NA
"9","hnxvn9",78655,622825,7.91844129425974,0.409090909090909,0.363636363636364,0.0405450315719508,"Historia tou Valkanotourkikou polemou. Ho stauros kata tēs hēmiselēnou.","Oikonomopoulos, Ēlias I.","1913","","Single known date/probable date","ell","ell",87,100,1913,NA
"10","32044059396531",68349,619666,9.06620433364058,0.363636363636364,0.318181818181818,0.027455919395466,"Themis.","","1890","19uu","Continuing resource ceased publication (Dead status)","ell","ell",87,100,1890,NA
"11","32044098648082",91042,617204,6.77933261571582,0.36,0.28,0.0366289458010721,"Hestia.","","1876","1895","Continuing resource ceased publication (Dead status)","ell","ell",86,100,1876,1895
"12","32044115212946",94154,611708,6.49688807698027,0.363636363636364,0.318181818181818,0.0213982358706305,"Politikē epitheōrēsis. Dekapenthēmeron periodikon. Idrythē en Kōnstantinoupolei tēo 1910.","","1910","uuuu","Continuing resource status unknown","ell","ell",87,100,1910,NA
"13","32044059396523",84219,610650,7.2507391443736,0.4375,0.296296296296296,0.0239259216656122,"Themis.","","1890","19uu","Continuing resource ceased publication (Dead status)","ell","ell",87,100,1890,NA
"14","32044059396572",76700,605021,7.88814863102999,0.3,0.25,0.0300194041776053,"Themis.","","1890","19uu","Continuing resource ceased publication (Dead status)","ell","ell",86,100,1890,NA
