book,lc,wc,cc
32044000028613,197,206,300
32044000046607,253,294,558
32044000061721,123,158,382
32044000061770,166,205,446
32044000066449,246,324,841
32044000088393,130,136,218
32044000089094,434,468,863
32044000150003,116,142,341
32044000153072,213,279,704
32044000165043,122,129,194
32044000179499,215,241,441
32044000180430,117,149,320
32044000182923,757,809,1448
32044000185348,1099,1127,2006
32044000185801,149,175,388
32044000186148,499,540,983
32044000186171,153,157,246
32044000189076,155,183,363
32044000189993,109,112,176
32044000191023,169,224,497
32044000191726,345,415,903
32044000196873,136,138,161
32044000198366,205,227,342
32044000199091,316,345,694
32044000199976,272,301,508
32044000204008,162,167,259
32044000239988,343,382,784
32044000242677,837,918,1928
32044000278622,158,166,297
32044000313700,169,187,376
32044000777961,233,253,426
32044001262195,4294,19386,135432
32044001611565,178,1635,11787
32044001635424,157,1541,11257
32044001680032,213,1309,9800
32044002346609,173,173,348
32044002418820,7119,66661,466834
32044002472561,195,774,5582
32044002609337,107,604,4596
32044002906972,123,123,982
32044003138013,105,136,526
32044004329728,734,5370,39437
32044004329736,1930,14493,101479
32044004329744,182,1629,12176
32044004330304,31500,217445,1619784
32044004331278,5142,24525,174742
32044004332011,108,122,241
32044004332417,114,1063,8361
32044004332573,194,907,6408
32044004333092,3391,15212,114062
32044004333100,4884,21639,158624
32044004334074,4945,19382,118138
32044004334595,391,3213,22950
32044004335766,3511,29082,204568
32044004336731,3909,8560,60869
32044004337960,256,672,5833
32044004338414,177,1137,8211
32044004343513,209,1248,8954
32044004344586,309,1562,11070
32044004353884,178,1663,11297
32044004354015,301,2668,18996
32044004355582,346,2960,21110
32044004356168,3985,31599,222484
32044004368270,430,3308,23197
32044004368361,226,1311,9575
32044004368528,432,2570,18689
32044004368601,185,1523,11375
32044004369963,451,3617,27216
32044004370649,559,6160,41617
32044004377339,1631,4957,35898
32044004382214,3254,26366,188963
32044004393096,1511,10443,76220
32044004394003,6662,26858,183128
32044004395737,1122,11276,83325
32044004396222,4091,30625,207267
32044004396230,3817,29567,203551
32044004431664,215,292,1979
32044004431839,210,2208,15220
32044004434106,197,1624,11266
32044004438123,293,293,585
32044004438149,377,377,751
32044004441671,1176,9633,69217
32044004448023,918,6142,45759
32044004451944,13473,62957,449422
32044004452132,628,698,1277
32044004454633,928,4677,34439
32044004455184,9305,57142,408364
32044004458535,669,4105,30236
32044004458915,489,5021,36656
32044004461661,183,1012,7225
32044004462396,2454,7839,60848
32044004462776,166,323,640
32044004464087,29003,235351,1698365
32044004466850,179,185,310
32044004467262,116,119,184
32044004469847,108,993,7446
32044004471470,122,587,4651
32044004471579,341,1783,12845
32044004471587,1043,1164,2270
32044004475885,1885,14083,104329
32044004476818,622,5226,37070
32044004479044,105,814,5933
32044004479176,279,2172,15204
32044004480851,3584,18497,122948
32044004481016,1509,9478,68829
32044004482089,169,252,864
32044004484507,13024,103867,744789
32044004484721,14193,109435,798303
32044004484788,208,1429,9944
32044004487120,631,4008,21142
32044004487963,225,1853,13871
32044004489001,27150,187078,1358272
32044004489720,248,2211,16776
32044004489753,395,1646,11386
32044004490819,147,516,3947
32044004491460,111,112,227
32044004492351,771,5179,37995
32044004497756,515,4611,34304
32044004505640,15731,117325,934950
32044004510863,1773,10333,73839
32044004511937,106,106,222
32044004520847,593,3411,23317
32044004521241,245,1859,14051
32044004525176,487,5168,37199
32044004531927,53581,479275,3056567
32044004541736,108,108,430
32044004543526,865,6474,43539
32044004543807,128,935,6452
32044004546198,438,1708,14195
32044004547600,110,724,3624
32044004548152,129,987,7259
32044004548343,249,859,6693
32044004548350,178,613,4336
32044004549754,7370,73218,513156
32044004550117,398,459,1377
32044004551990,381,1572,11525
32044004552006,223,918,7072
32044004552030,606,5806,43268
32044004558995,15123,99478,716348
32044004560165,454,3428,23947
32044004562922,2773,13414,96855
32044004565750,104,717,5161
32044004566337,151,177,373
32044004567657,180,753,4186
32044004569752,257,2323,16293
32044004573911,115,787,5691
32044004575817,366,2500,17991
32044004575825,515,3753,26825
32044004575833,437,3002,21154
32044004575841,507,4228,29254
32044004575858,288,2321,16229
32044004576229,6655,36737,260798
32044004576369,10228,44816,330158
32044004576377,16965,68885,501047
32044004576500,120,129,213
32044004577631,4278,41240,281046
32044004587119,20018,139986,961288
32044004587291,325,2231,16267
32044004589644,331,1940,14376
32044004590709,1287,10096,73380
32044004593083,522,4813,35219
32044004594529,385,3482,24948
32044004598595,250,301,566
32044004598603,132,149,317
32044004598678,816,916,1921
32044004598736,1343,12182,82603
32044004600581,251,258,480
32044004609582,2133,16160,110030
32044004634473,2316,13168,94483
32044004640389,3428,19858,147370
32044004681268,166,187,351
32044004682191,301,362,834
32044004691424,536,579,1127
32044004709697,730,774,1241
32044004714507,17509,140571,1006729
32044004714523,20986,164916,1149097
32044004714531,19952,165890,1173292
32044004716544,237,1879,14026
32044004744033,380,2349,15674
32044004744165,160,1126,8496
32044004744173,495,1690,12226
32044004744181,280,1180,8286
32044004744926,1801,7499,55950
32044004745733,178,281,2071
32044004745758,1091,3159,20326
32044004745774,168,562,4068
32044004745782,512,2110,16650
32044004745790,1090,3142,20270
32044004746632,2006,16398,119690
32044004779351,704,4164,30141
32044004781852,574,2132,15371
32044004781860,2508,12607,81896
32044004783312,216,1393,10078
32044004786844,4700,32501,238244
32044004786851,3382,23555,172217
32044004791000,137,1129,8522
32044004791091,1679,12255,90266
32044004801551,3118,22505,166353
32044004807400,203,1664,12619
32044004813812,974,7421,52513
