work,words
urn:cts:greekLit:ggm0001.ggm001,382
urn:cts:greekLit:ogl0001.ogl001,87
urn:cts:greekLit:stoa0033a.tlg028,6424
urn:cts:greekLit:stoa0033a.tlg043,3460
urn:cts:greekLit:stoa0121.stoa001,23867
urn:cts:greekLit:stoa0146d.stoa001,28057
urn:cts:greekLit:tlg0001.tlg001,38822
urn:cts:greekLit:tlg0003.tlg001,150139
urn:cts:greekLit:tlg0004.tlg001,108733
urn:cts:greekLit:tlg0005.tlg001,11157
urn:cts:greekLit:tlg0005.tlg002,1750
urn:cts:greekLit:tlg0005.tlg003,77
urn:cts:greekLit:tlg0006.tlg001,4139
urn:cts:greekLit:tlg0006.tlg002,6602
urn:cts:greekLit:tlg0006.tlg003,8026
urn:cts:greekLit:tlg0006.tlg004,6272
urn:cts:greekLit:tlg0006.tlg005,8256
urn:cts:greekLit:tlg0006.tlg006,7397
urn:cts:greekLit:tlg0006.tlg007,7340
urn:cts:greekLit:tlg0006.tlg008,7166
urn:cts:greekLit:tlg0006.tlg009,7977
urn:cts:greekLit:tlg0006.tlg010,9339
urn:cts:greekLit:tlg0006.tlg011,7230
urn:cts:greekLit:tlg0006.tlg012,7781
urn:cts:greekLit:tlg0006.tlg013,8497
urn:cts:greekLit:tlg0006.tlg014,9982
urn:cts:greekLit:tlg0006.tlg015,9951
urn:cts:greekLit:tlg0006.tlg016,10115
urn:cts:greekLit:tlg0006.tlg017,7610
urn:cts:greekLit:tlg0006.tlg018,9481
urn:cts:greekLit:tlg0006.tlg019,5502
urn:cts:greekLit:tlg0006.tlg020,15706
urn:cts:greekLit:tlg0007.tlg001,7399
urn:cts:greekLit:tlg0007.tlg002,9214
urn:cts:greekLit:tlg0007.tlg003,1156
urn:cts:greekLit:tlg0007.tlg004,9394
urn:cts:greekLit:tlg0007.tlg005,7506
urn:cts:greekLit:tlg0007.tlg006,1587
urn:cts:greekLit:tlg0007.tlg007,8507
